Ref,Val,Package,PosX,PosY,Rot,Side
"C210","100n","C_0805_2012Metric",37.037500,-194.050000,0.000000,top
"C211","100n","C_0805_2012Metric",66.962500,-218.025000,180.000000,top
"C212","100n","C_0805_2012Metric",51.837500,-195.000000,0.000000,top
"C213","100n","C_0805_2012Metric",52.300000,-208.250000,0.000000,top
"C214","100n","C_0805_2012Metric",63.300000,-208.250000,0.000000,top
"C215","100n","C_0805_2012Metric",34.037500,-220.050000,0.000000,top
"C216","100n","C_0805_2012Metric",97.037500,-231.000000,0.000000,top
"C217","100n","C_0805_2012Metric",112.037500,-218.050000,0.000000,top
"C218","100n","C_0805_2012Metric",139.300000,-215.250000,0.000000,top
"C219","100n","C_0805_2012Metric",127.300000,-202.250000,0.000000,top
"C220","100n","C_0805_2012Metric",149.037500,-229.000000,0.000000,top
"C221","100n","C_0805_2012Metric",102.837499,-151.000000,0.000000,top
"C222","100n","C_0805_2012Metric",200.300000,-209.250000,0.000000,top
"C223","100n","C_0805_2012Metric",167.037500,-220.000000,0.000000,top
"C224","100n","C_0805_2012Metric",179.037500,-233.000000,0.000000,top
"C225","100n","C_0805_2012Metric",182.037500,-210.000000,0.000000,top
"C226","100n","C_0805_2012Metric",208.700000,-238.025000,180.000000,top
"C227","100n","C_0805_2012Metric",138.037500,-194.050000,0.000000,top
"C228","100n","C_0805_2012Metric",190.037500,-233.000000,0.000000,top
"C229","100n","C_0805_2012Metric",119.300000,-232.250000,0.000000,top
"C230","100n","C_0805_2012Metric",133.037500,-232.050000,0.000000,top
"C231","100n","C_0805_2012Metric",142.037500,-233.000000,0.000000,top
"C232","100n","C_0805_2012Metric",139.037500,-204.050000,0.000000,top
"C233","100n","C_0805_2012Metric",43.037500,-220.050000,0.000000,top
"C234","100n","C_0805_2012Metric",142.762500,-170.050000,0.000000,top
"C235","100n","C_0805_2012Metric",199.037500,-224.050000,0.000000,top
"C236","100n","C_0805_2012Metric",37.525000,-241.635000,180.000000,top
"C237","10u","C_0805_2012Metric",75.000000,-156.000000,90.000000,top
"C238","10u","C_0805_2012Metric",90.000000,-148.000000,0.000000,top
"C239","10u","C_0805_2012Metric",260.000000,-234.000000,90.000000,top
"C240","100n","C_0805_2012Metric",259.000000,-226.000000,0.000000,top
"C241","100n","C_0805_2012Metric",35.000000,-78.200000,-90.000000,top
"C242","10n","C_0805_2012Metric",37.000000,-84.000000,0.000000,top
"C243","10n","C_0805_2012Metric",191.000000,-223.000000,90.000000,top
"C245","1n","C_1206_3216Metric",21.000000,-254.000000,0.000000,top
"C247","1n","C_0805_2012Metric",125.000000,-166.000000,0.000000,top
"C248","100n","C_0805_2012Metric",131.000000,-167.000000,0.000000,top
"C249","1n","C_0805_2012Metric",125.000000,-175.000000,0.000000,top
"C250","100n","C_0805_2012Metric",133.000000,-178.000000,0.000000,top
"C251","100n","C_0805_2012Metric",145.000000,-174.000000,0.000000,top
"C252","100n","C_0805_2012Metric",74.000000,-62.000000,0.000000,top
"C253","100n","C_0805_2012Metric",171.000000,-84.000000,0.000000,top
"C254","1u","C_0805_2012Metric",89.000000,-205.000000,90.000000,top
"C255","100n","C_0805_2012Metric",98.037500,-202.050000,0.000000,top
"C256","100n","C_0805_2012Metric",114.037500,-203.000000,0.000000,top
"C257","100n","C_0805_2012Metric",88.037500,-218.050000,0.000000,top
"C258","100n","C_0805_2012Metric",215.762500,-219.050000,0.000000,top
"C300","1uF 100V","C_1206_3216Metric",224.500000,-166.000000,90.000000,top
"C301","10uF 25V","C_1210_3225Metric",212.500000,-165.000000,0.000000,top
"C302","100nF 50V","C_0603_1608Metric",204.500000,-172.000000,0.000000,top
"C303","1uF 25V","C_0805_2012Metric",205.500000,-177.000000,0.000000,top
"C304","100nF 50V","C_0603_1608Metric",175.500000,-183.000000,0.000000,top
"C305","100pF 50V C0G","C_0603_1608Metric",176.500000,-172.000000,0.000000,top
"C306","100pF 50V C0G","C_0603_1608Metric",166.500000,-183.000000,0.000000,top
"C307","100nF 50V","C_0603_1608Metric",200.500000,-199.000000,90.000000,top
"C308","100nF 50V","C_0603_1608Metric",245.000000,-159.000000,-90.000000,top
"C309","1uF 25V","C_0805_2012Metric",248.000000,-159.000000,-90.000000,top
"C310","100nF 50V","C_0603_1608Metric",259.000000,-222.000000,0.000000,top
"C311","100nF 50V","C_0603_1608Metric",208.500000,-190.000000,0.000000,top
"D1","43V bidirectional low-clamp TVS","PTVS1_DFN8x6",35.000000,-70.000000,90.000000,top
"D2","43V bidirectional low-clamp TVS","PTVS1_DFN8x6",108.000000,-85.000000,90.000000,top
"D40","ESD2CAN24DBZRQ1","SOT-23",25.000000,-241.000000,90.000000,top
"D60","43V standoff TVS 1500W","D_SMC",255.000000,-212.000000,0.000000,top
"D61","43V drain spike clamp","D_SMC",225.000000,-189.000000,-90.000000,top
"D62","15V gate clamp","D_SOD-123F",246.000000,-174.000000,-90.000000,top
"D64","LDO reverse discharge path","D_SOD-323",218.500000,-160.000000,0.000000,top
"D65","Analog fault OR","D_SOD-323",162.500000,-201.000000,90.000000,top
"D66","Analog fault OR","D_SOD-323",166.500000,-201.000000,90.000000,top
"J16","CAN backbone IN","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",35.000000,-250.000000,0.000000,top
"J17","CAN backbone OUT","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",50.000000,-250.000000,0.000000,top
"Q1","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",60.000000,-30.000000,90.000000,top
"Q2","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",60.000000,-55.000000,90.000000,top
"Q3","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",60.000000,-80.000000,90.000000,top
"Q4","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",90.000000,-30.000000,-90.000000,top
"Q5","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",90.000000,-55.000000,-90.000000,top
"Q6","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",90.000000,-80.000000,-90.000000,top
"Q7","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",155.000000,-35.000000,90.000000,top
"Q8","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",155.000000,-70.000000,90.000000,top
"Q9","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",185.000000,-35.000000,-90.000000,top
"Q10","100V N-MOS .99mR@25C/2.3mR@175C 10V","CCPAK1212_SOT8000A",185.000000,-70.000000,-90.000000,top
"Q11","Remote temperature diode","SOT-23",175.000000,-76.000000,0.000000,top
"Q20","BSS138BK,215","SOT-23",145.000000,-216.000000,0.000000,top
"Q21","BSS138BK,215","SOT-23",90.000000,-241.000000,0.000000,top
"Q40","100V chopper NMOS","Infineon_PG-HSOF-8-1",237.000000,-176.000000,-90.000000,top
"Q41","NTC healthy enables driver","SOT-23",233.000000,-157.000000,-90.000000,top
"Q42","Chopper gate status isolation driver","SOT-23",163.500000,-191.000000,0.000000,top
"Q43","Qualified fault LED power","SOT-23",164.500000,-207.000000,0.000000,top
"Q44","Qualified local enable","SOT-23",207.500000,-208.000000,0.000000,top
"R1","10R 1%","R_0805_2012Metric",66.650000,-38.500000,90.000000,top
"R2","10R 1%","R_0805_2012Metric",66.650000,-63.500000,90.000000,top
"R3","10R 1%","R_0805_2012Metric",66.650000,-88.500000,90.000000,top
"R4","10R 1%","R_0805_2012Metric",83.350000,-21.500000,90.000000,top
"R5","10R 1%","R_0805_2012Metric",83.350000,-46.500000,90.000000,top
"R6","10R 1%","R_0805_2012Metric",83.350000,-71.500000,90.000000,top
"R7","10R 1%","R_0805_2012Metric",161.650000,-43.500000,90.000000,top
"R8","10R 1%","R_0805_2012Metric",161.650000,-78.500000,90.000000,top
"R9","10R 1%","R_0805_2012Metric",178.350000,-26.500000,90.000000,top
"R10","10R 1%","R_0805_2012Metric",178.350000,-61.500000,90.000000,top
"R11","10M 1%","R_0805_2012Metric",70.150000,-38.500000,90.000000,top
"R12","10M 1%","R_0805_2012Metric",70.150000,-63.500000,90.000000,top
"R13","10M 1%","R_0805_2012Metric",70.150000,-88.500000,90.000000,top
"R14","10M 1%","R_0805_2012Metric",79.850000,-21.500000,90.000000,top
"R15","10M 1%","R_0805_2012Metric",79.850000,-46.500000,90.000000,top
"R16","10M 1%","R_0805_2012Metric",79.850000,-71.500000,90.000000,top
"R17","10M 1%","R_0805_2012Metric",165.150000,-43.500000,90.000000,top
"R18","10M 1%","R_0805_2012Metric",165.150000,-78.500000,90.000000,top
"R19","10M 1%","R_0805_2012Metric",174.850000,-26.500000,90.000000,top
"R20","10M 1%","R_0805_2012Metric",174.850000,-61.500000,90.000000,top
"R21","49R9 0.1% 25ppm/K","R_0805_2012Metric",67.700000,-97.500000,-90.000000,top
"R22","18K2 0.1% 25ppm/K","R_0805_2012Metric",62.000000,-109.000000,0.000000,top
"R23","3K65 0.1% 25ppm/K","R_0805_2012Metric",77.000000,-102.000000,-90.000000,top
"R24","100K 0.1% 25ppm/K","R_0805_2012Metric",68.000000,-110.000000,0.000000,top
